edgeID,startNode,endNode
MHALL00312_MRETL00313,MHALL00312,MRETL00313
MHALL00312_MRETL00314,MHALL00312,MRETL00314
MHALL00312_MHALL00335,MHALL00312,MHALL00335
MRETL00313_MRETL00330,MRETL00313,MRETL00330
MRETL00313_MHALL00331,MRETL00313,MHALL00331
MRETL00314_MHALL00316,MRETL00314,MHALL00316
MSERV00315_MHALL00316,MSERV00315,MHALL00316
MHALL00316_MHALL00317,MHALL00316,MHALL00317
MHALL00316_MHALL00318,MHALL00316,MHALL00318
MHALL00317_MHALL00329,MHALL00317,MHALL00329
MHALL00318_MHALL00319,MHALL00318,MHALL00319
MHALL00318_MHALL00321,MHALL00318,MHALL00321
MHALL00319_MDEPT00320,MHALL00319,MDEPT00320
MDEPT00320_MDEPT00324,MDEPT00320,MDEPT00324
MHALL00321_MELEV00322,MHALL00321,MELEV00322
MHALL00321_MSTAI00323,MHALL00321,MSTAI00323
MHALL00321_MDEPT00327,MHALL00321,MDEPT00327
MELEV00322_EELEV00X04,MELEV00322,EELEV00X04
MSTAI00323_ESTAI00604,MSTAI00323,ESTAI00604
MDEPT00324_MDEPT00325,MDEPT00324,MDEPT00325
MDEPT00325_MDEPT00326,MDEPT00325,MDEPT00326
MDEPT00326_MREST00343,MDEPT00326,MREST00343
MDEPT00327_MREST00343,MDEPT00327,MREST00343
MDEPT00327_MREST00344,MDEPT00327,MREST00344
MHALL00328_MREST00344,MHALL00328,MREST00344
MHALL00328_MHALL00329,MHALL00328,MHALL00329
MRETL00330_MHALL00331,MRETL00330,MHALL00331
MHALL00331_MHALL00332,MHALL00331,MHALL00332
MHALL00332_MHALL00333,MHALL00332,MHALL00333
MHALL00333_MHALL00334,MHALL00333,MHALL00334
MHALL00335_AHALL04303,MHALL00335,AHALL04303
MHALL00336_MSERV00337,MHALL00336,MSERV00337
MHALL00336_MSERV00338,MHALL00336,MSERV00338
MHALL00336_AHALL04303,MHALL00336,AHALL04303
MSERV00338_MHALL00339,MSERV00338,MHALL00339
MHALL00339_MHALL00340,MHALL00339,MHALL00340
MHALL00340_MHALL00341,MHALL00340,MHALL00341
MHALL00341_MHALL00342,MHALL00341,MHALL00342
AHALL04303_AREST00503,AHALL04303,AREST00503
EELEV00X04_EHALL02604,EELEV00X04,EHALL02604
